char,readings
集中する,しゅうちゅうする
育つ,そだつ
教育,きょういく
拾う,ひろう
指す,さす
指,ゆび
小指,こゆび
指定する,していする
洋風,ようふう
洋服,ようふく
太平洋,たいへいよう
洋食,ようしょく
洋室,ようしつ
神,かみ
神道,しんとう
神社,じんじゃ
秒,びょう
高級,こうきゅう
初級,しょきゅう
中級,ちゅうきゅう
上級,じょうきゅう
追う,おう
戦い,たたかい
作戦,さくせん
戦車,せんしゃ
戦場,せんじょう
競う,きそう
良い,よい;いい
仲良く,なかよく
特に,とくに
不便,ふべん
便所,べんじょ
働く,はたらく
意見,いけん
意味,いみ
味,あじ
勉強,べんきょう
家庭,かてい
庭,にわ
息,いき
息子,むすこ
利息,りそく
旅,たび
旅行,りょこう
根,ね
根本,こんぽん;ねもと
屋根,やね
根気,こんき
大根,だいこん
流す,ながす
流行,りゅうこう;はやり
一流,いちりゅう
本流,ほんりゅう
消す,けす
倍,ばい
二倍,にばい
店員,てんいん
全員,ぜんいん
社員,しゃいん
会社員,かいしゃいん
広島,ひろしま
祭,まつり
文章,ぶんしょう
第二章,だいにしょう
第一,だいいち
第一位,だいいちい
東京都,とうきょうと
京都,きょうと
動く,うごく
動物,どうぶつ
運動,うんどう
商売,しょうばい
商人,しょうにん
悪い,わるい
悪人,あくにん
悪女,あくじょ
最悪,さいあく
家族,かぞく
民族,みんぞく
血族,けつぞく
深い,ふかい
深夜,しんや
水深,すいしん
最深,さいしん
球,たま;きゅう
野球,やきゅう
童話,どうわ
太陽,たいよう
一階,いっかい
二階,にかい
四十二階,よんじゅうにかい
寒い,さむい
暑い,あつい
期待,きたい
学期,がっき
時期,じき
植物,しょくぶつ
歯医者,はいしゃ
虫歯,むしば
歯,は
温かい,あたたかい
温泉,おんせん
温度,おんど
空港,くうこう
茶の湯,ちゃのゆ
湯気,ゆげ
登る,のぼる
登山,とざん
着る,きる
着く,つく
短い,みじかい
短刀,たんとう
短期,たんき
泉,いずみ
人口,じんこう
子牛,こうし
切手,きって
引き分け,ひきわけ
亡くなる,なくなる
人生,じんせい
男の子,おとこのこ
毛虫,けむし
下町,したまち
小文字,こもじ
男の人,おとこのひと
年,とし
今まで,いままで
冬休み,ふゆやすみ
毛糸,けいと
今すぐ,いますぐ
出来る,できる
方言,ほうげん
人形,にんぎょう
外来語,がいらいご
手作り,てづくり
東京,とうきょう
合う,あう
風,かぜ
当て字,あてじ
次々,つぎつぎ
向こう,むこう
曲がる,まがる
南米,なんべい
全米,ぜんべい
南口,みなみぐち
思い出,おもいで
近づく,ちかづく
思い出す,おもいだす
大学生,だいがくせい
言い方,いいかた
先回り,さきまわり
早口,はやくち
足りない,たりない
年上,としうえ
世の中,よのなか
代わり,かわり
今年,ことし;こんねん
代える,かえる
年下,としした
近々,ちかぢか;きんきん;ちかじか
青空,あおぞら
小学生,しょうがくせい
作り方,つくりかた
中学生,ちゅうがくせい
不人気,ふにんき
見直す,みなおす
全く,まったく
長さ,ながさ
安売り,やすうり
この前,このまえ
東口,ひがしぐち
お知らせ,おしらせ
名前,なまえ
